Tabela,ModelPair,HardDice_Lex_mean,SoftDice_Sem_mean
public.rl_grupo_condicao_ciap_cid,DEEPSEEK__VS__OPENAI,0.0,0.594182680050532
public.rl_grupo_condicao_ciap_cid,MISTRAL__VS__OPENAI,0.037037037037037035,0.5699415725690347
public.rl_historico_cabecalho,DEEPSEEK__VS__MISTRAL,0.0,0.5420516033967336
public.rl_historico_cabecalho,DEEPSEEK__VS__OPENAI,0.0,0.5232479605409833
public.rl_historico_cabecalho,MISTRAL__VS__OPENAI,0.1111111111111111,0.6759333301473547
public.rl_inscrito_topico_notificacao,DEEPSEEK__VS__MISTRAL,0.0,0.6433563033739725
public.rl_inscrito_topico_notificacao,DEEPSEEK__VS__OPENAI,0.0,0.6794416507085165
public.rl_inscrito_topico_notificacao,MISTRAL__VS__OPENAI,0.0,0.6191247701644897
public.rl_manifest_alergiaevolucao,DEEPSEEK__VS__MISTRAL,0.0,0.7893560462527806
public.rl_manifest_alergiaevolucao,DEEPSEEK__VS__OPENAI,0.48148148148148145,0.7370736587930609
public.rl_manifest_alergiaevolucao,MISTRAL__VS__OPENAI,0.0,0.6402270429664187
public.rl_perfil_cbo_padrao,DEEPSEEK__VS__MISTRAL,0.0,0.5996835320084183
public.rl_perfil_cbo_padrao,DEEPSEEK__VS__OPENAI,0.0,0.6404143958180039
public.rl_perfil_cbo_padrao,MISTRAL__VS__OPENAI,0.2222222222222222,0.6797647134021476
public.rl_proced_atributo_complem,DEEPSEEK__VS__MISTRAL,0.4444444444444444,0.7886664304468367
public.rl_proced_atributo_complem,DEEPSEEK__VS__OPENAI,0.3333333333333333,0.783472498257955
public.rl_proced_atributo_complem,MISTRAL__VS__OPENAI,0.5555555555555556,0.786116600036621
public.rl_proced_cbo,DEEPSEEK__VS__MISTRAL,0.0,0.6151506536536747
public.rl_proced_cbo,DEEPSEEK__VS__OPENAI,0.0,0.6559042533238729
public.rl_proced_cbo,MISTRAL__VS__OPENAI,0.3703703703703704,0.8029099018485458
public.rl_proced_cds_proced,DEEPSEEK__VS__MISTRAL,0.0,0.6260053151183658
public.rl_proced_cds_proced,DEEPSEEK__VS__OPENAI,0.3333333333333333,0.6913894712924957
public.rl_proced_cds_proced,MISTRAL__VS__OPENAI,0.0,0.6294178631570604
